metric,label,raw_value,exact_row_dedup_value,absolute_delta,relative_delta,material_change
total_submissions,Total submissions,2390.0,2378.0,-12.0,-0.00502092050209205,False
overall_pro_rate,Overall pro rate,0.2489539748953975,0.24894869638351555,-5.2785118819509425e-06,-2.120276201321471e-05,False
overall_con_rate,Overall con rate,0.7497907949790795,0.7497897392767031,-1.0557023764068418e-06,-1.4079959149622499e-06,False
mean_duplicate_fraction,Mean duplicate fraction,0.00502092050209205,0.0,-0.00502092050209205,-1.0,False
high_tier_windows,High-tier windows,0.0,0.0,0.0,,False
