metric,label,raw_value,exact_row_dedup_value,absolute_delta,relative_delta,material_change
total_submissions,Total submissions,691.0,686.0,-5.0,-0.00723589001447178,False
overall_pro_rate,Overall pro rate,0.552821997105644,0.5524781341107872,-0.0003438629948567806,-0.0006220139514294121,False
overall_con_rate,Overall con rate,0.44573082489146165,0.446064139941691,0.0003333150502293214,0.0007477944795729256,False
mean_duplicate_fraction,Mean duplicate fraction,0.00723589001447178,0.0,-0.00723589001447178,-1.0,False
high_tier_windows,High-tier windows,0.0,0.0,0.0,,False
