metric,label,raw_value,exact_row_dedup_value,absolute_delta,relative_delta,material_change
total_submissions,Total submissions,105.0,102.0,-3.0,-0.02857142857142857,False
overall_pro_rate,Overall pro rate,0.0,0.0,0.0,,False
overall_con_rate,Overall con rate,0.9523809523809523,0.9509803921568627,-0.0014005602240896309,-0.0014705882352941124,False
mean_duplicate_fraction,Mean duplicate fraction,0.02857142857142857,0.0,-0.02857142857142857,-1.0,False
high_tier_windows,High-tier windows,0.0,0.0,0.0,,False
