metric,label,raw_value,exact_row_dedup_value,absolute_delta,relative_delta,material_change
total_submissions,Total submissions,488.0,486.0,-2.0,-0.004098360655737705,False
overall_pro_rate,Overall pro rate,0.07991803278688525,0.08024691358024691,0.00032888079336165776,0.004115226337448435,False
overall_con_rate,Overall con rate,0.9200819672131147,0.9197530864197531,-0.0003288807933616855,-0.0003574472765267317,False
mean_duplicate_fraction,Mean duplicate fraction,0.004098360655737705,0.0,-0.004098360655737705,-1.0,False
high_tier_windows,High-tier windows,0.0,0.0,0.0,,False
