metric,label,raw_value,exact_row_dedup_value,absolute_delta,relative_delta,material_change
total_submissions,Total submissions,1245.0,1237.0,-8.0,-0.00642570281124498,False
overall_pro_rate,Overall pro rate,0.9959839357429718,0.9959579628132579,-2.5972929713957704e-05,-2.607765926925592e-05,False
overall_con_rate,Overall con rate,0.004016064257028112,0.004042037186742118,2.5972929714006276e-05,0.006467259498787564,False
mean_duplicate_fraction,Mean duplicate fraction,0.00642570281124498,0.0,-0.00642570281124498,-1.0,False
high_tier_windows,High-tier windows,0.0,0.0,0.0,,False
