metric,label,raw_value,exact_row_dedup_value,absolute_delta,relative_delta,material_change
total_submissions,Total submissions,82.0,81.0,-1.0,-0.012195121951219513,False
overall_pro_rate,Overall pro rate,0.9512195121951219,0.9506172839506173,-0.0006022282445046212,-0.000633111744222807,False
overall_con_rate,Overall con rate,0.036585365853658534,0.037037037037037035,0.0004516711833785006,0.012345679012345684,False
mean_duplicate_fraction,Mean duplicate fraction,0.012195121951219513,0.0,-0.012195121951219513,-1.0,False
high_tier_windows,High-tier windows,0.0,0.0,0.0,,False
