metric,label,raw_value,exact_row_dedup_value,absolute_delta,relative_delta,material_change
total_submissions,Total submissions,838.0,832.0,-6.0,-0.007159904534606206,False
overall_pro_rate,Overall pro rate,0.1801909307875895,0.18028846153846154,9.753075087204355e-05,0.0005412633723892218,False
overall_con_rate,Overall con rate,0.8174224343675418,0.8173076923076923,-0.00011474205984951524,-0.00014037057832685221,False
mean_duplicate_fraction,Mean duplicate fraction,0.007159904534606206,0.0,-0.007159904534606206,-1.0,False
high_tier_windows,High-tier windows,0.0,0.0,0.0,,False
