metric,label,raw_value,exact_row_dedup_value,absolute_delta,relative_delta,material_change
total_submissions,Total submissions,44.0,43.0,-1.0,-0.022727272727272728,False
overall_pro_rate,Overall pro rate,0.9772727272727273,0.9767441860465116,-0.0005285412262157063,-0.0005408328826393274,False
overall_con_rate,Overall con rate,0.0,0.0,0.0,,False
mean_duplicate_fraction,Mean duplicate fraction,0.022727272727272728,0.0,-0.022727272727272728,-1.0,False
high_tier_windows,High-tier windows,0.0,0.0,0.0,,False
