metric,label,raw_value,exact_row_dedup_value,absolute_delta,relative_delta,material_change
total_submissions,Total submissions,925.0,919.0,-6.0,-0.006486486486486486,False
overall_pro_rate,Overall pro rate,0.3978378378378378,0.40043525571273125,0.0025974178748934262,0.006528835690968531,False
overall_con_rate,Overall con rate,0.5989189189189189,0.5963003264417845,-0.0026185924771343627,-0.004372198630594379,False
mean_duplicate_fraction,Mean duplicate fraction,0.006486486486486486,0.0,-0.006486486486486486,-1.0,False
high_tier_windows,High-tier windows,0.0,0.0,0.0,,False
